,category,url,title,subtitle,pick,supporters,reward_levels,like_num,share_num,price,achievement_rate,achievement_goal,funding_period,funding_duration,start_day,abs_achievement_rate
1923,앱 · 웹 서비스,https://tumblbug.com/daiv-zip,인공지능 입문부터 실전까지 <AI 개념 + 코드.zip>,22명의 팀원이 3개월 동안 진행한 AI 프로젝트 모음집,0,398,"['1,000원 +', '18,000원 +', '18,000원 +', '24,000원 +', '20,000원 +']",606,76,9347000.0,467%,2000000,2023.04.08 ~ 2023.05.08,30,Saturday,1869.3999999999999
1924,앱 · 웹 서비스,https://tumblbug.com/plot-studio,창작자를 위한 스토리 메이킹 프로그램 '플롯 스튜디오',짜임새 있는 이야기를 위해! 이야기의 뼈대와 디테일을 한 프로그램으로 관리해 보세요.,0,607,"['1,000원 +', '25,000원 +', '25,000원 +', '35,000원 +', '20,000원 +', '20,000원 +']",1112,91,15577000.0,1557%,1000000,2023.11.11 ~ 2023.12.23,42,Saturday,3115.4
1925,앱 · 웹 서비스,https://tumblbug.com/novela,"웹소설 작가를 위한 All-in-one 창작툴, '노벨라'","구닥다리 워드프로세서는 그만! 원고 작성, 맞춤법 검사, 자료정리까지 '노벨라' 한 곳에서",0,1262,"['1,000원 +', '14,900원 +', '19,900원 +', '24,900원 +', '16,900원 +', '11,900원 +', '21,900원 +']",2115,316,20093800.0,2009%,1000000,2022.10.14 ~ 2022.11.24,41,Friday,4018.76
1926,앱 · 웹 서비스,https://tumblbug.com/help242,켈트식 판타지 작명 백과 프로그램 [도와줘요! 242],이름 짓기 고민이신가요? 6종 켈트어 단어 검색과 조합으로 개성 넘치는 작명을 도와드려요!,0,447,"['1,000원 +', '28,000원 +', '42,000원 +', '40,000원 +']",991,80,16939000.0,1693%,1000000,2023.02.04 ~ 2023.03.06,30,Saturday,3387.8
1927,앱 · 웹 서비스,https://tumblbug.com/maze_cafe,AI로 찾는 나만의 카페 할인 스마트 오더 앱 - MAZE,AI와 빅데이터로 구현하는 개인 카페 [추천 + 할인 + 스마트오더] 모바일 O2O 서비스,0,72,"['1,000원 +', '10,000원 +', '25,000원 +', '50,000원 +', '75,000원 +']",91,29,12907000.0,1290%,1000000,2022.09.14 ~ 2022.10.21,37,Wednesday,2581.4
1928,앱 · 웹 서비스,https://tumblbug.com/mung,"내가 찾던 명상앱, 하루 한번 멍한 시간 <멍상>","내가 찾던 명상앱, 하루 한번 멍한 시간 <멍상>",1,188,"['1,000원 +', '99,900원 +', '7,900원 +', '35,900원 +', '59,900원 +', '199,000원 +', '990,000원 +', '32,400원 +', '53,900원 +', '89,900원 +']",231,45,11840300.0,1184%,1000000,2022.08.12 ~ 2022.09.07,26,Friday,2368.06
1929,앱 · 웹 서비스,https://tumblbug.com/rippler,"사생활 노출은 싫지만 셀카는 올리고 싶어, Rippler","찐친들을 위한 우리만의 SNS ""리플러"" 위티가 만들고 큐리오스가 함께해요",0,42,"['1,000원 +', '9,700원 +', '17,700원 +', '34,700원 +', '99,700원 +', '99,700원 +', '430,000원 +', '1,000,000원 +']",82,7,2770800.0,554%,500000,2020.08.20 ~ 2020.09.20,31,Thursday,554.16
1930,앱 · 웹 서비스,https://tumblbug.com/palette-for-twitter,Palette for twitter,"트잉여가 바라던 트위터 앱, Palette for twitter. 앱 출시를 위해선 여러분의 도움이 필요합니다.",0,495,"['1,000원 +', '1,000원 +', '5,000원 +', '10,000원 +', '30,000원 +', '50,000원 +', '200,000원 +']",8,2,6030378.0,548%,1100000,2014.12.29 ~ 2015.01.31,33,Monday,1206.0756
1931,앱 · 웹 서비스,https://tumblbug.com/adbike,자전거를 어드바이스! 자전거 여행플랫폼 'A:D BIKE',"당신의 버킷리스트, 두 바퀴로 떠나는 자전거 여행자를 위한 플랫폼 'A:D BIKE'",1,59,"['1,000원 +', '5,000원 +', '50,000원 +', '100,000원 +', '1,000,000원 +', '10,000원 +', '30,000원 +']",38,5,10020000.0,501%,2000000,2020.11.09 ~ 2020.11.22,13,Monday,2004.0
1932,앱 · 웹 서비스,https://tumblbug.com/dott-tarot,[도트 타로 다이어리] : 한 장으로 남기는 기록,"도트 그래픽 타로카드로 달력을 꾸밀 수 있는 데일리 타로 어플, 타로어리입니다.",0,242,"['1,000원 +', '15,000원 +', '15,000원 +', '18,000원 +', '3,000원 +', '10,000원 +', '15,000원 +', '8,000원 +', '13,000원 +', '18,000원 +', '10,000원 +']",663,82,2128000.0,425%,500000,2022.04.06 ~ 2022.05.08,32,Wednesday,425.6
1933,앱 · 웹 서비스,https://tumblbug.com/5gaam,감각 별로 기록하는 나만의 취향. 취향수집 app '오감',취향을 찾는 것을 어려워하지 마세요. '오감'으로 느끼는 것들을 가볍게 기록해 보세요.,0,71,"['1,000원 +', '15,000원 +', '30,000원 +']",259,33,1507000.0,301%,500000,2022.10.06 ~ 2022.10.19,13,Thursday,301.4
1934,앱 · 웹 서비스,https://tumblbug.com/dreamary,"커피 한 잔 가격의 헤어서비스, '드리머리'","꿈을 가진 사람은 기회를, 꿈의 헤어스타일을 찾는 사람은 기쁨을. 드리머리의 꿈과 함께해요",0,109,"['1,000원 +', '1,000원 +', '10,000원 +', '25,000원 +', '40,000원 +', '25,000원 +']",9,2,2974000.0,297%,1000000,2018.10.31 ~ 2018.12.05,35,Wednesday,594.8000000000001
1935,앱 · 웹 서비스,https://tumblbug.com/1090challenge,세바시와 함께하는 1090 챌린지,매주 90분의 새로운 지식 충전! 10주 동안 일주일 하나의 수강권으로 성장습관을 만듭니다,0,171,"['1,000원 +', '89,000원 +', '100,000원 +', '69,000원 +']",144,89,13140000.0,262%,5000000,2022.08.04 ~ 2022.09.05,32,Thursday,2628.0
1936,앱 · 웹 서비스,https://tumblbug.com/web1,저작권 없는 코딩수업 WEB1,생활코딩을 운영하는 이고잉입니다. 저작권 없는 코딩교육 동영상 강의와 전자책을 만듭니다.,0,1693,"['1,000원 +', '5,000원 +', '50,000원 +', '70,000원 +', '32,000원 +', '12,000원 +', '12,000원 +', '100,000원 +', '12,000원 +', '32,000원 +', '32,000원 +', '31,999원 +', '100,000원 +', '12,000원 +']",46,3,31414099.0,261%,12000000,2017.10.18 ~ 2017.11.19,32,Wednesday,6282.8198
1937,앱 · 웹 서비스,https://tumblbug.com/bigpicture,"일정관리의 큰그림,「빅픽처」","여러 가지 일정으로 인해 멀티태스킹을 해야 할 때, 남은 기간을 정리해서 보여주는 프로그램",1,107,"['1,000원 +', '1,000원 +', '10,000원 +', '50,000원 +']",7,0,1280366.0,256%,500000,2017.03.31 ~ 2017.05.11,41,Friday,256.0732
1938,앱 · 웹 서비스,https://tumblbug.com/palettepartner,"당신의 모든 취미를 담는 SNS, 팔레트",세상의 모든 도전은 그 자체로 아름다우니까! 관심사 별 부캐릭터 기반 SNS 팔레트입니다.,0,103,"['1,000원 +', '15,000원 +', '35,000원 +', '70,000원 +', '120,000원 +', '500,000원 +', '10,000원 +', '200,000원 +', '1,000,000원 +']",45,5,2500444.0,250%,1000000,2021.01.28 ~ 2021.02.14,17,Thursday,500.0888
1939,앱 · 웹 서비스,https://tumblbug.com/bananacoding,"문학과 코딩이 만나다, <코드로 읽는 그리스로마신화>","문학과 코딩의 만남, <코드로 읽는 그리스로마신화>를 통해 코딩을 쉽고 재미있게 배우세요!",1,63,"['1,000원 +', '33,500원 +', '57,500원 +', '69,500원 +', '72,500원 +', '99,500원 +', '63,500원 +', '89,500원 +']",7,0,2465600.0,246%,1000000,2018.04.10 ~ 2018.05.13,33,Tuesday,493.11999999999995
1940,앱 · 웹 서비스,https://tumblbug.com/pnpillust,하루만에 끝내는 일러스트레이터,하루만에 끝내는 일러스트레이터 1DAY 클래스 비법강의!!,0,58,"['1,000원 +', '39,000원 +', '40,000원 +', '45,000원 +', '50,000원 +', '55,000원 +', '58,000원 +', '39,000원 +']",182,1,2317000.0,231%,1000000,2021.10.07 ~ 2021.10.13,6,Thursday,463.40000000000003
1941,앱 · 웹 서비스,https://tumblbug.com/me2day2007,미투데이 2007,"미투데이와 함께 했던 소중한 기억을  글, 사진, 댓글 미투까지 모두 보기좋게 웹에 보관합니다.",0,410,"['1,000원 +', '5,000원 +', '10,000원 +', '30,000원 +', '1,000원 +']",0,0,6685000.0,222%,3000000,2013.11.18 ~ 2013.12.13,25,Monday,1337.0
1942,앱 · 웹 서비스,https://tumblbug.com/secondtrack,"SECONDTRACK, 음반 거래는 세컨드트랙",판매자와 구매자를 익명으로 연결해주는 LP 중고거래 플랫폼,0,314,"['1,000원 +', '19,500원 +', '19,500원 +', '26,500원 +', '33,000원 +']",171,37,9283500.0,185%,5000000,2022.03.17 ~ 2022.04.07,21,Thursday,1856.7
1943,앱 · 웹 서비스,https://tumblbug.com/programmer,최초의 두가지 프로그래밍 언어책 출간,IT  전공 및 비전공자를 위해 두가지 언어를 함께 다룬 책!,0,645,"['1,000원 +', '1,000원 +', '50,000원 +', '100,000원 +', '35,000원 +', '10,000원 +', '45,000원 +', '70,000원 +']",15,0,11054600.0,184%,6000000,2016.05.08 ~ 2016.07.07,60,Sunday,2210.92
1944,앱 · 웹 서비스,https://tumblbug.com/pnpexcel,하루만에 끝내는 엑셀,하루만에 끝내는 엑셀 1DAY 클래스 비법강의,0,77,"['1,000원 +', '30,000원 +', '40,000원 +', '50,000원 +', '60,000원 +']",195,0,2750000.0,183%,1500000,2021.06.23 ~ 2021.07.07,14,Wednesday,550.0
1945,앱 · 웹 서비스,https://tumblbug.com/sharehomt,홈트족을 위한 구독형 홈트레이닝 서비스 '쉐어홈트' ,홈트레이닝에 필요한 운동기구 쉐어 / 어플리케이션을 통한 운동 및 식단 프로그램 제공,0,24,"['1,000원 +', '15,000원 +', '15,000원 +', '60,000원 +', '60,000원 +', '90,000원 +', '120,000원 +', '180,000원 +']",131,7,1818000.0,181%,1000000,2021.10.27 ~ 2021.11.15,19,Wednesday,363.6
1946,앱 · 웹 서비스,https://tumblbug.com/holdfold,"한 번 클릭으로 이미지를 저장하다, 'HoldFold'",화면 상단에 폴더를 등록해 두는 프로그램입니다. 위로 끌어다 놓아서 저장하세요!,0,71,"['1,000원 +', '11,000원 +', '30,000원 +', '20,000원 +', '50,000원 +']",7,1,892000.0,178%,500000,2018.01.15 ~ 2018.02.12,28,Monday,178.4
1947,앱 · 웹 서비스,https://tumblbug.com/anajo,"""내가 더 안아줄게, 아껴줄게, 조금 더""","동물 보호소내 아이들의 '새로운 가족 찾기'와 '제2의 유기, 파양률 낮추기' 프로젝트",1,95,"['1,000원 +', '5,000원 +', '15,000원 +', '30,000원 +', '50,000원 +', '100,000원 +']",2,0,1496000.0,149%,1000000,2016.10.10 ~ 2016.11.09,30,Monday,299.2
1948,앱 · 웹 서비스,https://tumblbug.com/1min-test,수의사가 만든 <반려동물 1분검사와 상담>과 럭셔리 인식표,병원에 갈지 말지 고민하지 마세요. 수의사가 만든 원펫 1분 검사+상담에서 알려드려요! ,0,11,"['1,000원 +', '59,900원 +', '59,900원 +', '59,900원 +', '89,900원 +', '89,900원 +', '89,900원 +']",77,10,740000.0,148%,500000,2021.10.18 ~ 2021.11.14,27,Monday,148.0
1949,앱 · 웹 서비스,https://tumblbug.com/femiwiki,우리의 언어 그리고 기록을 위한 '페미위키' 굿즈,페미위키 법률자문 비용마련을 위한 굿즈를 제작합니다.,0,288,"['1,000원 +', '10,000원 +', '20,000원 +', '25,000원 +', '30,000원 +', '70,000원 +']",2,1,5141000.0,146%,3500000,2016.11.19 ~ 2016.11.29,10,Saturday,1028.2
1950,앱 · 웹 서비스,https://tumblbug.com/0315269316,꿈을 코딩하는 미래의 코드 히어로를 응원해 주세요!,학생이 학생을 가르치는 코딩교육 시스템을 만들어가는 교육봉사 프로젝트입니다.,1,37,"['1,000원 +', '1,000원 +', '8,000원 +', '15,000원 +', '30,000원 +']",4,0,1468000.0,146%,1000000,2018.03.30 ~ 2018.04.28,29,Friday,293.6
1951,앱 · 웹 서비스,https://tumblbug.com/wwwfootprintcareers,"N사 현직 개발자들의 취업 성공 스토리, footprint",대기업 현직 개발자들의 취업 성공 스토리와 정확한 개발자의 취업 정보를 알려드리겠습니다. ,0,112,"['1,000원 +', '15,000원 +', '15,000원 +', '28,000원 +']",231,29,2973000.0,148%,2000000,2022.02.18 ~ 2022.04.19,60,Friday,594.6
1952,앱 · 웹 서비스,https://tumblbug.com/designvoca,"Design voca, 그런 찰진 단어는 모른다구요.",Design voca : 디자이너 간 다르게 이해하고 있는 UX 디자인 어휘집.,0,77,"['1,000원 +', '20,000원 +', '20,000원 +', '30,000원 +', '30,000원 +', '40,000원 +', '10,000원 +']",596,10,2170000.0,144%,1500000,2022.01.20 ~ 2022.03.11,50,Thursday,434.0
1954,앱 · 웹 서비스,https://tumblbug.com/buttonlett,"SNS가 아니다, PNS다. Buttonlett.",자기만의 우체통을 가지고 편지를 씁니다. 짧은 전보를 주고받고 메모를 합니다. 어플에서요.,1,61,"['1,000원 +', '10,000원 +', '15,000원 +', '22,000원 +', '50,000원 +', '60,000원 +']",6,0,3365300.0,134%,2500000,2018.03.13 ~ 2018.03.18,5,Tuesday,673.06
1955,앱 · 웹 서비스,https://tumblbug.com/pickkorea,아직도 패키지여행？이제는 내가 만드는 나만의 한국여행！,방한외국인(관광객)과 한국여행을 더 다양하게 즐기고 싶은 한국인을 위한 관광 앱 플랫폼,0,70,"['1,000원 +', '1,000원 +', '10,000원 +', '30,000원 +', '50,000원 +']",11,1,1323006.0,132%,1000000,2019.10.15 ~ 2019.11.09,25,Tuesday,264.6012
