,Reward Levels,Selection Counts
0,"18,000원 +",66
1,"24,000원 +",364
2,"20,000원 +",126
3,"25,000원 +",698
4,"35,000원 +",80
5,"14,900원 +",1061
6,"19,900원 +",7
7,"24,900원 +",87
8,"16,900원 +",30
9,"11,900원 +",30
10,"21,900원 +",30
11,"28,000원 +",203
12,"42,000원 +",236
13,"40,000원 +",195
14,"10,000원 +",858
15,"50,000원 +",666
16,"75,000원 +",58
17,"99,900원 +",11
18,"7,900원 +",40
19,"35,900원 +",37
20,"59,900원 +",32
21,"199,000원 +",6
22,"990,000원 +",3
23,"32,400원 +",30
24,"53,900원 +",20
25,"89,900원 +",14
26,"9,700원 +",16
27,"17,700원 +",7
28,"34,700원 +",9
29,"99,700원 +",5
30,"430,000원 +",1
31,"1,000,000원 +",8
32,"5,000원 +",1277
33,"30,000원 +",721
34,"200,000원 +",13
35,"100,000원 +",169
36,"15,000원 +",199
37,"3,000원 +",108
38,"8,000원 +",8
39,"13,000원 +",19
40,"89,000원 +",66
41,"69,000원 +",121
42,"70,000원 +",52
43,"32,000원 +",306
44,"12,000원 +",104
45,"31,999원 +",25
46,"120,000원 +",2
47,"500,000원 +",8
48,"33,500원 +",38
49,"57,500원 +",1
50,"69,500원 +",0
51,"72,500원 +",0
52,"99,500원 +",0
53,"63,500원 +",9
54,"89,500원 +",6
55,"39,000원 +",54
56,"45,000원 +",11
57,"55,000원 +",0
58,"58,000원 +",2
59,"19,500원 +",190
60,"26,500원 +",53
61,"33,000원 +",56
62,"60,000원 +",17
63,"90,000원 +",0
64,"180,000원 +",2
65,"11,000원 +",60
66,"21,000원 +",23
67,"22,000원 +",5
68,"79,000원 +",1
69,"99,000원 +",0
70,"189,000원 +",3
71,"209,000원 +",0
72,"34,000원 +",8
73,"64,000원 +",19
74,"80,000원 +",2
75,"300,000원 +",0
76,"700,000원 +",0
77,"199,900원 +",2
78,"9,000원 +",7
79,"29,000원 +",13
80,"43,000원 +",1
81,"73,000원 +",0
82,"44,000원 +",0
83,"93,000원 +",5
