,Reward Levels,Selection Counts,Log Reward Levels
0,27500.0,804,10.221977646629885
1,33500.0,183,10.419330568113901
2,37500.0,85,10.53212287826962
3,49500.0,117,10.809748150372926
4,25500.0,50,10.146472946063877
5,18000.0,10334,9.798182590890704
6,34200.0,94,10.440010162389305
7,36000.0,343,10.491301994830229
8,54000.0,174,10.896757843893464
9,72000.0,46,11.184435286790631
10,13000.0,1670,9.472781556562168
11,20800.0,69,9.942756341456828
12,31000.0,312,10.34177474101152
13,59000.0,56,10.985309671896763
14,38800.0,10,10.566201298475118
15,27000.0,859,10.203629181337648
16,51000.0,122,10.839600519357369
17,91000.0,32,11.418625774449596
18,19000.0,1693,9.852246888342531
19,14000.0,897,9.546884034617925
20,17000.0,1687,9.741027444837728
21,18500.0,452,9.825580063659602
22,21500.0,50,9.975854724662028
23,15500.0,88,9.648659816955295
24,22300.0,8,10.012386799492118
25,42000.0,178,10.645448706505872
26,54800.0,11,10.911463720944793
27,22000.0,1238,9.99884318585288
28,31500.0,24,10.357774570341576
29,41000.0,98,10.62135173563291
30,50500.0,1,10.829748417047593
31,12500.0,159,9.433563920090563
32,90000.0,40,11.407576060361786
33,15000.0,9191,9.61587214452889
34,25000.0,1976,10.12667110305036
35,15900.0,109,9.674137279312397
36,17900.0,43,9.792611856190192
37,20900.0,38,9.94755228369823
38,28900.0,45,10.27163147557801
39,9500.0,20,9.15915233520675
40,20000.0,4588,9.90353755128617
41,24000.0,675,10.085850775128717
42,12000.0,2504,9.392745258631441
43,21000.0,945,9.952325334619427
44,29000.0,476,10.275085591132715
45,34000.0,323,10.434145214930487
46,44000.0,61,10.691967639914864
47,150000.0,310,11.918397239722838
49,16000.0,3430,9.680406499268875
50,30000.0,2186,10.308985993422082
51,40000.0,834,10.596659732783579
52,67000.0,39,11.112462823634855
53,38000.0,408,10.545367754151743
54,35000.0,1143,10.463131911491967
55,23000.0,1017,10.043292972227004
56,33000.0,610,10.404293143019792
57,28000.0,930,10.239995502805316
58,45000.0,979,10.714439990727769
59,60000.0,218,11.002116507732017
60,75000.0,58,11.225256725762893
61,21700.0,7,9.985113621416073
62,25700.0,4,10.154285180632154
63,31700.0,9,10.36410350510914
64,36700.0,1,10.510559281627845
65,10000.0,4978,9.210440366976517
66,48000.0,502,10.778977123006351
67,50000.0,1950,10.819798284210286
68,65000.0,252,11.082157933374816
69,85000.0,17,11.350418300109132
70,165000.0,1,12.013706813470414
72,100000.0,822,11.51293546492023
73,200000.0,477,12.206077645517674
74,37000.0,213,10.518700218288165
75,52000.0,250,10.859018228147887
76,58000.0,38,10.968215530759236
77,18400.0,8,9.820160289946374
78,30300.0,11,10.318935994253193
79,38400.0,12,10.555838779903407
80,58400.0,9,10.975088291957388
81,16900.0,21,9.735128070758227
82,4000.0,33,8.294299608857235
83,18900.0,27,9.846970109700957
84,23900.0,22,10.081675578048475
85,55000.0,93,10.915106645867503
86,23500.0,35,10.064798252418377
87,24500.0,51,10.106469212026385
88,26500.0,132,10.184937747111391
89,11900.0,87,9.38437770918244
90,22900.0,2,10.038935856711177
91,34900.0,10,10.460270761075149
92,37900.0,1,10.542732775946709
93,70900.0,4,11.16903981679311
94,26000.0,861,10.165890277802454
95,11000.0,272,9.305741456739435
96,8000.0,1353,8.987321812850125
97,53000.0,1060,10.87806606028079
98,13500.0,1606,9.510519035757246
99,63000.0,76,11.050905878263567
100,23100.0,152,10.047631185616188
101,43400.0,20,10.6782377612977
102,63500.0,29,11.05881093278828
103,103300.0,16,11.545402335602985
106,5000.0,860,8.517393171418904
107,80000.0,242,11.289794413577894
108,6800.0,73,8.824824939175638
109,27600.0,50,10.225607282932941
110,55500.0,19,10.92415631759022
111,66600.0,29,11.106474871430772
112,67500.0,23,11.119897691565697
113,135000.0,21,11.813037464800539
114,32000.0,586,10.373522431293592
115,46000.0,40,10.736418414365376
116,56000.0,13,10.933124826700707
117,49000.0,359,10.799595985047786
118,87000.0,404,11.373674891823535
119,14500.0,1399,9.581972891547895
120,43500.0,232,10.680539205318292
122,14800.0,86,9.60245002503719
123,70000.0,207,11.156264806643742
124,73000.0,23,11.19822841866684
125,81000.0,11,11.302216779257382
126,22500.0,743,10.021315031649332
127,42500.0,33,10.657282884047461
128,99500.0,18,11.507922973347437
129,22600.0,15,10.025749432069084
132,3000.0,49,8.006700845440367
134,64000.0,29,11.06665398721974
135,18700.0,33,9.83633227734872
136,52500.0,10,10.868587496017359
137,19500.0,333,9.87822102528824
138,37300.0,15,10.526775414924009
139,124800.0,14,11.734475747705874
140,142800.0,3,11.869207331664223
142,62500.0,37,11.042937835596494
143,125000.0,11,11.736077016252437
144,45700.0,10,10.729875458480967
145,89800.0,3,11.405351390085748
146,29800.0,7,10.30229722897745
147,47700.0,0,10.77270764101727
148,93900.0,0,11.44999631476691
149,9900.0,206,9.200391041122515
150,13900.0,148,9.539716058977092
151,14900.0,182,9.60918360377546
152,29900.0,30,10.305647203635566
153,38900.0,9,10.568775236216993
154,7900.0,43,8.974744612722734
156,43000.0,136,10.668978650219241
157,127000.0,4,11.751950239425476
158,9000.0,346,9.105090961257085
160,108000.0,44,11.58989576532275
161,168000.0,13,12.031725210748633
162,39000.0,353,10.571342565808699
163,61000.0,6,11.0186455364637
164,30500.0,118,10.32551474894327
165,57500.0,78,10.959557617938563
166,15600.0,5,9.65509029374725
167,18600.0,15,9.83097062169695
168,28800.0,2,10.268165387743457
169,31800.0,12,10.367253014814716
170,36500.0,44,10.505094936455558
171,47000.0,68,10.757924157061597
172,132000.0,0,11.790564777297387
173,66000.0,40,11.097425172408931
174,82000.0,1,11.314486721293981
175,98000.0,63,11.49273296168228
176,7500.0,34,8.922791623969637
177,23800.0,2,10.077482875583607
178,33700.0,1,10.425282789490705
179,77000.0,22,11.251573687764477
180,35900.0,0,10.488520429241627
181,96000.0,204,11.472113887062386
183,10900.0,153,9.296609807128359
184,19900.0,50,9.898525260706313
185,83900.0,2,11.3373928113354
186,87900.0,9,11.383966460172834
187,69900.0,1,11.154835234271214
188,95000.0,18,11.461642696843066
189,7000.0,185,8.853808274977197
190,6000.0,63,8.699681400989514
191,16500.0,438,9.711176264112805
